type,score,file,slug,title,missing_intent,missing_data,missing_risk,missing_decision,missing_semantic,missing_links,missing_faq,missing_freshness,missing_ctr,missing_differentiation,missing_key_points,missing_fm_faqs,missing_meta_title
blog,2,"content/blog/introducing-mdx.mdx","introducing-mdx","MDX ile Zengin Blog İçeriği",true,false,true,true,true,true,true,false,true,true,true,true,true
blog,3,"content/blog/api-entegrasyonu-nedir.mdx","api-entegrasyonu-nedir","API Entegrasyonu Nedir? E-Ticaret Entegrasyonları Nasıl Çalışır?",true,true,true,true,true,false,true,false,false,true,true,true,true
blog,3,"content/blog/e-ticaret-seo-rehberi.mdx","e-ticaret-seo-rehberi","E-Ticaret SEO Rehberi 2026: Organik Trafiği 10x Artırın",true,true,true,true,true,false,true,false,false,true,true,true,true
blog,3,"content/blog/llm-ai.mdx","llm-ai","LLM ve AI ile Yazılım Geliştirme",false,true,true,false,true,true,true,false,true,true,true,true,true
blog,3,"content/blog/online-is-fikirleri-2026-sermayesiz.mdx","online-is-fikirleri-2026-sermayesiz","2026'da Sermayesiz Online İş Fikirleri: Gelir Getirecek İnovatif İdea",true,true,false,true,true,true,true,false,false,true,true,true,true
blog,4,"content/blog/abonelik-modeli-nedir.mdx","abonelik-modeli-nedir","Abonelik Modeli Nedir? E-Ticarette Subscription Business",true,false,true,true,true,false,true,false,false,true,true,true,true
blog,4,"content/blog/chatgpt-ile-e-ticaret.mdx","chatgpt-ile-e-ticaret","ChatGPT ile E-Ticaret: AI ile Satışlarınızı Nasıl Artırırsınız?",true,true,true,true,false,false,true,false,false,true,true,true,true
blog,4,"content/blog/core-web-vitals-nedir.mdx","core-web-vitals-nedir","Core Web Vitals Nedir? Sayfa Deneyimi ve SEO Etkisi",false,true,true,true,true,false,true,false,false,true,true,true,true
blog,4,"content/blog/donusum-orani-nasil-artirilir.mdx","donusum-orani-nasil-artirilir","Dönüşüm Oranı Nasıl Artırılır? 15 Kanıtlanmış Teknik",false,true,true,true,true,false,true,false,false,true,true,true,true
blog,4,"content/blog/e-ticaret-nasil-kurulur-adim-adim.mdx","e-ticaret-nasil-kurulur-adim-adim","E-Ticaret Nasıl Kurulur? Adım Adım Rehber 2026",false,true,true,true,false,true,true,false,false,true,true,true,true
blog,4,"content/blog/en-cok-satilan-urunler-2026.mdx","en-cok-satilan-urunler-2026","Türkiye'de En Çok Satılan E-Ticaret Ürünleri 2026",true,false,true,false,true,true,true,false,false,true,true,true,true
